Features,PCA Method,Components,Low/VeryLow,Intermediate,High/VeryHigh
PyRadiomics,PCA,1,0.375,0.3571428571428571,0.125
PyRadiomics,PCA,2,0.25,0.5714285714285714,0.5
PyRadiomics,PCA,3,0.5,0.6428571428571428,0.5
PyRadiomics,PCA,4,0.625,0.6428571428571428,0.0
PyRadiomics,PCA,5,0.75,0.6428571428571428,0.625
PyRadiomics,PCA,6,0.875,0.7857142857142857,0.875
PyRadiomics,PCA,7,0.625,0.7142857142857143,0.875
PyRadiomics,PCA,8,0.5,0.6428571428571428,1.0
PyRadiomics,PCA,9,0.625,0.6428571428571428,1.0
PyRadiomics,PCA,10,0.625,0.7142857142857143,1.0
PyRadiomics,PCA,11,0.5,0.7857142857142857,0.75
PyRadiomics,PCA,12,0.5,0.7142857142857143,0.625
PyRadiomics,PCA,13,0.625,0.5714285714285714,0.625
PyRadiomics,PCA,14,0.625,0.6428571428571428,0.625
PyRadiomics,PCA,15,0.625,0.7142857142857143,0.375
PyRadiomics,PCA,16,0.625,0.7142857142857143,0.375
PyRadiomics,PCA,17,0.625,0.5,0.375
PyRadiomics,PCA,18,0.625,0.5714285714285714,0.375
PyRadiomics,PCA,19,0.5,0.6428571428571428,0.75
PyRadiomics,PCA,20,0.625,0.42857142857142855,0.75
PyRadiomics,PCA,21,0.625,0.42857142857142855,0.75
PyRadiomics,PCA,22,0.625,0.42857142857142855,0.75
PyRadiomics,PCA,23,0.625,0.42857142857142855,0.75
PyRadiomics,PCA,24,0.625,0.42857142857142855,0.75
PyRadiomics,PCA,25,0.625,0.42857142857142855,0.75
PyRadiomics,PCA,26,0.625,0.42857142857142855,0.75
PyRadiomics,PCA,27,0.625,0.42857142857142855,0.75
PyRadiomics,PCA,28,0.625,0.42857142857142855,0.75
PyRadiomics,PCA,29,0.625,0.42857142857142855,0.75
PyRadiomics,PCA,30,0.625,0.42857142857142855,0.75
PyRadiomics,PCA,31,0.625,0.42857142857142855,0.75
PyRadiomics,PCA,32,0.625,0.5,0.75
PyRadiomics,PCA,33,0.625,0.5,0.75
PyRadiomics,PCA,34,0.625,0.5,0.75
PyRadiomics,SparsePCA,1,0.75,0.5714285714285714,0.875
PyRadiomics,SparsePCA,2,0.25,0.5714285714285714,0.75
PyRadiomics,SparsePCA,3,0.5,0.6428571428571428,1.0
PyRadiomics,SparsePCA,4,0.75,0.7142857142857142,0.125
PyRadiomics,SparsePCA,5,0.875,0.6428571428571428,0.875
PyRadiomics,SparsePCA,6,0.875,0.7857142857142857,0.625
PyRadiomics,SparsePCA,7,0.5,0.6428571428571428,0.625
PyRadiomics,SparsePCA,8,0.5,0.7142857142857143,0.875
PyRadiomics,SparsePCA,9,0.375,0.7142857142857143,0.75
PyRadiomics,SparsePCA,10,0.5,0.7142857142857143,0.75
PyRadiomics,SparsePCA,11,0.5,0.7142857142857143,0.75
PyRadiomics,SparsePCA,12,0.5,0.6428571428571428,0.75
PyRadiomics,SparsePCA,13,0.375,0.6428571428571428,0.875
PyRadiomics,SparsePCA,14,0.5,0.7142857142857143,0.875
PyRadiomics,SparsePCA,15,0.5,0.7142857142857143,0.875
PyRadiomics,SparsePCA,16,0.625,0.7142857142857143,0.75
